"","x"
"325","WASF3"
"326","OTUD7B"
"327","LRAT"
"328","RETREG1"
"329","PACS1"
"330","CNTN1"
"331","UBA52"
"332","SENP6"
"333","ADAMTS4"
"334","FAM107B"
"335","MT2A"
"336","NAP1L1"
"337","RNF141"
"338","DNAJC6"
"339","HIF1A"
"340","CLCN4"
"341","ZNF638"
"342","ACER3"
"343","PALLD"
"344","PPCS"
"345","FYB1"
"346","PPP1R12A"
"347","ANKS1B"
"348","CAMSAP2"
"349","SPOCK1"
"350","HSP90B1"
"351","MS4A6A"
"352","THOC2"
"353","SSB"
"354","KPNA5"
"355","GNPTAB"
"356","EIF2S2"
"357","SYNPO2"
"358","FEZ1"
"359","MIER1"
"360","PPP1R3C"
"361","MAPK10"
"362","SRPK2"
"363","PRRG1"
"364","TCEA1"
"365","ATM"
"366","CBX1"
"367","ATF7IP"
"368","PARD3"
"369","LHPP"
"370","CPEB2"
"371","TBCA"
"372","MOB3B"
"373","TULP4"
"374","EHBP1"
"375","RAB13"
"376","NKTR"
"377","SKAP2"
"378","AMOT"
"379","MAOB"
"380","HECTD1"
"381","TAOK3"
"382","GNA13"
"383","ZMAT3"
"384","SUGT1"
"385","AK5"
"386","ST18"
"387","CASC2"
"388","CCDC7"
"389","DHCR24"
"390","KMT2E"
"391","LIFR"
"392","SLCO1A2"
"393","SDCCAG8"
"394","MALAT1"
"395","LNPK"
"396","RDX"
"397","SLK"
"398","MBOAT2"
"399","CTNNA3"
"400","CDC42BPA"
"401","GNAQ"
"402","DSEL"
"403","ITPR2"
"404","PHF3"
"405","OSBPL1A"
"406","AL031056.1"
"407","OMG"
"408","HINT3"
"409","DCLK1"
"410","ADGRV1"
"411","LIPA"
"412","SGCB"
"413","AKT3"
"414","ZNF652"
"415","NIPAL3"
"416","ARHGAP15"
"417","B3GAT2"
"418","CDKN1C"
"419","CFAP46"
"420","KPNA3"
"421","RAP1A"
"422","NAA15"
"423","IDI1"
"424","TMEM106B"
"425","FRMD4B"
"426","STRN"
"427","ZNF680"
"428","ANK2"
"429","DUSP1"
"430","SNX10"
"431","RSL24D1"
"432","RBM17"
"433","SOCS4"
"434","OLIG2"
"435","LAPTM5"
"436","KMT2C"
"437","DEK"
"438","FAM133B"
"439","USP8"
"440","IGLL5"
"441","SF3B6"
"442","SREK1IP1"
"443","PABPC4"
"444","UPF2"
"445","NKAIN2"
"446","GAS7"
"447","RPS4X"
"448","E2F6"
"449","LINC00844"
"450","ABCA1"
"451","IGHG2"
"452","RYBP"
"453","ABI2"
"454","OSGIN2"
"455","RTTN"
"456","EPM2AIP1"
"457","RNASE1"
"458","SYNJ2"
"459","TNR"
"460","FADS2"
"461","ZNF292"
"462","RC3H1"
"463","C2orf69"
"464","MS4A7"
"465","EMP1"
"466","CHMP3"
"467","RBM26"
"468","PRNP"
"469","DARS"
"470","C1orf61"
"471","TAX1BP1"
"472","DDA1"
"473","SYF2"
"474","METAP2"
"475","TMEM158"
"476","RBM39"
"477","SERPINI1"
"478","RAB3IP"
"479","TCAF1"
"480","ACAP2"
"481","B3GAT1"
"482","CEP97"
"483","RAD23B"
"484","CACNA2D1"
"485","BAZ2B"
"486","ZNF664"
"487","CCDC82"
"488","ROCK2"
"489","ANTXR1"
"490","LMO3"
"491","TMEM167A"
"492","EPS15"
"493","ANKRD36"
"494","MRO"
"495","TJP1"
"496","ENY2"
"497","GABRA2"
"498","BEX1"
"499","PPP4R2"
"500","LPL"
