"","x"
"328","KIF3A"
"329","ANKRD36C"
"330","BARD1"
"331","LPP"
"332","CHI3L2"
"333","BAZ1A"
"334","ANK2"
"335","RBM26"
"336","CDKL3"
"337","CHMP3"
"338","RIF1"
"339","EHBP1"
"340","PDGFRA"
"341","IQGAP2"
"342","KPNA5"
"343","CALD1"
"344","SCAF8"
"345","MAP3K20"
"346","TUT4"
"347","ANGPT1"
"348","SLC7A11"
"349","TPM2"
"350","FUCA1"
"351","SSB"
"352","FBXL3"
"353","NOTCH3"
"354","PPP4R3B"
"355","IGHV3-33"
"356","NSD3"
"357","ANKS1B"
"358","PLPP3"
"359","TXNIP"
"360","TCEA1"
"361","SYNE1"
"362","NOVA1"
"363","PPP1R12A"
"364","KIF2A"
"365","FRYL"
"366","TPR"
"367","ARID1B"
"368","CCL18"
"369","ARPC1A"
"370","FCGR2B"
"371","TRAC"
"372","SNAP25"
"373","BNIP2"
"374","TRIP11"
"375","ITSN2"
"376","FUT9"
"377","TOP1"
"378","IGSF6"
"379","ZNF638"
"380","CDH19"
"381","SLC44A1"
"382","MPEG1"
"383","NUDT3"
"384","SLCO1A2"
"385","PLSCR1"
"386","ARHGAP21"
"387","ATP1A2"
"388","KAT6B"
"389","FGF2"
"390","FAM234A"
"391","TRIM33"
"392","ETNK1"
"393","PER3"
"394","USO1"
"395","PSMA7"
"396","TCEAL8"
"397","SEL1L"
"398","TCEAL2"
"399","CYLD"
"400","KIAA1109"
"401","RGS1"
"402","CPEB4"
"403","EVI2A"
"404","FAM208B"
"405","PTBP3"
"406","MYCBP2"
"407","PLA2G12A"
"408","NFIC"
"409","SESN3"
"410","SETD2"
"411","TACC1"
"412","CRYBG3"
"413","GOLM1"
"414","ZMYM4"
"415","RNF168"
"416","LHFPL6"
"417","NCL"
"418","SSPN"
"419","RPRD2"
"420","MED13"
"421","CHD2"
"422","MAP3K2"
"423","RCN2"
"424","RDH11"
"425","OPTN"
"426","CCDC14"
"427","REV3L"
"428","OLIG1"
"429","CX3CR1"
"430","TRPS1"
"431","DPY19L4"
"432","PIAS1"
"433","LRRFIP1"
"434","NEK1"
"435","SPOPL"
"436","FAM133B"
"437","FUBP3"
"438","PANK3"
"439","SLC38A1"
"440","NR2F1"
"441","CPVL"
"442","MRPL1"
"443","VWF"
"444","RIMS1"
"445","TBL1XR1"
"446","SDCBP"
"447","DTNA"
"448","AC120042.3"
"449","NCOR1"
"450","PIK3C2A"
"451","RFTN2"
"452","ATM"
"453","SLCO2B1"
"454","PNRC1"
"455","ABCA1"
"456","SOCS4"
"457","NPAS3"
"458","PIK3R1"
"459","UACA"
"460","IFI44L"
