"","x"
"327","ARF6"
"328","RHOC"
"329","PSMA7"
"330","CHL1"
"331","NSA2"
"332","NCOA1"
"333","LARP7"
"334","TCFL5"
"335","BST2"
"336","FOS"
"337","TXNL1"
"338","SYNE1"
"339","UTRN"
"340","RSF1"
"341","PRPF40A"
"342","DDAH1"
"343","RALGAPA1"
"344","MGLL"
"345","NACC2"
"346","SSB"
"347","CYR61"
"348","ITSN1"
"349","EMP2"
"350","USP53"
"351","NR3C1"
"352","MPHOSPH8"
"353","FRA10AC1"
"354","SERPINE2"
"355","THOC2"
"356","MARK3"
"357","RPS6KA3"
"358","IDS"
"359","MAP1A"
"360","FBXW11"
"361","TRAK2"
"362","TSPYL1"
"363","VWF"
"364","SOX2"
"365","BAALC"
"366","MARCKSL1"
"367","YWHAE"
"368","KPNA5"
"369","ARID4A"
"370","LAPTM4A"
"371","CLTC"
"372","SSPN"
"373","ASH1L"
"374","FAM171B"
"375","TBC1D4"
"376","SLC39A8"
"377","NEK7"
"378","GPNMB"
"379","EIF4EBP2"
"380","EGR1"
"381","EIF3E"
"382","ITM2C"
"383","IL17D"
"384","PMEPA1"
"385","SPX"
"386","RPL10A"
"387","LPIN1"
"388","TOP2B"
"389","TOB2"
"390","ATP1B2"
"391","NAA16"
"392","SCRG1"
"393","PHF3"
"394","RPL14"
"395","ANKRD17"
"396","DNAJB4"
"397","PREPL"
"398","EIF2S2"
"399","SUGT1"
"400","FBLN1"
"401","OSGIN2"
"402","GPR4"
"403","MED13L"
"404","RPS14"
"405","CCDC91"
"406","ELOVL7"
"407","MAPK1IP1L"
"408","MLC1"
"409","PTMS"
"410","DST"
"411","ITGB1"
"412","C5orf63"
"413","PSAP"
"414","LDHB"
"415","PABPN1"
"416","RBM39"
"417","SLK"
"418","APOLD1"
"419","BUD31"
"420","TRAK1"
"421","ADGRL4"
"422","TAX1BP1"
"423","PON2"
"424","ITPR2"
"425","TNR"
"426","PHYHIPL"
"427","FAU"
"428","LMO4"
"429","MED13"
"430","SCG3"
"431","AEBP1"
"432","ADGRF5"
"433","UFC1"
"434","BPTF"
"435","MTRNR2L10"
"436","CALM3"
"437","TPD52L1"
"438","TNIK"
"439","JUN"
"440","AP1S2"
"441","TGFBR3"
"442","SAP18"
"443","KIF5B"
"444","ATP5MD"
"445","KDSR"
"446","TLE1"
"447","ARPC2"
"448","ARL1"
"449","GCC2"
"450","GALNT15"
"451","CTNNB1"
"452","ERC1"
"453","TCEAL9"
"454","C6orf62"
"455","CYP1B1"
"456","PNN"
"457","CYCS"
"458","SEMA4B"
"459","KCTD12"
"460","LSM14A"
"461","MT1X"
"462","SESN3"
"463","KIAA2026"
"464","WAC"
"465","PTPRB"
"466","HERPUD1"
"467","TNRC6C"
"468","RALBP1"
"469","AK9"
"470","RNF20"
"471","FOSL2"
"472","SLC2A1"
"473","SLC30A1"
"474","APC"
"475","DYNC1I2"
"476","SNTA1"
"477","NEDD9"
"478","MOB4"
"479","RNF145"
"480","NAMPT"
"481","GMFB"
"482","SNAP25"
"483","CCDC7"
"484","PABPC1"
"485","APLP2"
"486","CD74"
"487","ABCA1"
"488","IGLC3"
"489","FMR1"
"490","KMT2E"
"491","CAST"
"492","MAFG"
"493","CFH"
"494","KIF3A"
"495","URI1"
"496","STK39"
"497","CCNI"
"498","TCEAL3"
"499","PTPN14"
"500","CCDC82"
