"","logFC","AveExpr","t","P.Value","adj.P.Val","z.std"
"C1RL",2.39650919333509,2.96473300908554,3.9813322214925,0.000777954196119516,0.0971079647379349,3.3605216985621
"INSM1",-4.39906812443559,0.104513349682055,-4.19834469302179,0.000787660934693507,0.0971079647379349,-3.35709482667783
"LEPROTL1",-0.517001154736947,5.34014609902832,-4.28051522201648,0.000793144240874567,0.0971079647379349,-3.35517628439521
"TMEM221",3.11230889499698,1.27270527813584,3.87443976010813,0.000796777617163364,0.0971079647379349,3.35391177964331
"LINC01411",-1.23924322012977,3.17188837887835,-3.83239107501908,0.000803715626787299,0.0971079647379349,-3.35151197575833
"INTS2",-0.809645122404579,3.91064352254554,-4.37066548711932,0.000806386315058977,0.0971079647379349,-3.3505933267262
"DMRT2",-1.52988957497256,3.20196742418267,-4.64051666412753,0.000808397105735983,0.0971079647379349,-3.34990352691486
"ACBD4",1.49102399710887,3.01934256838564,4.50320405170624,0.000838475478120732,0.0995320922418124,3.33977083756762
"RYR1",0.903403243595634,4.03598236530312,3.96432367300206,0.000840673319658013,0.0995320922418124,3.33904372058494
"DUSP22",-0.789888689681398,5.17590510689882,-4.28966389987545,0.000853239918170212,0.100298352380908,-3.3349198385033
"GOLGA7",-1.21300331295876,7.56958495931639,-4.31230418502787,0.000861480278728647,0.100305698424529,-3.33224613410804
"ARMC12",1.79070428153383,0.756927710891072,3.78150854458153,0.000866437107057414,0.100305698424529,3.33064922029464
"NUDT4",1.52021663740649,6.10680717955268,3.98703198268047,0.000871587462764027,0.100305698424529,3.32899890747328
"WDR45",0.514079119229304,4.99518893560168,3.7680465445135,0.000896649419876134,0.100957064539598,3.32109521600599
"GNG12",1.62839676408712,6.18850848974726,4.57658832560168,0.000897923630558105,0.100957064539598,3.32069886635449
"SGMS2",3.44536349804383,2.00929371140445,3.76424517724136,0.000905366414215539,0.100957064539598,3.31839411399906
"MRGPRF",3.1000972971764,1.85669440853918,3.82178380876316,0.00091111805087377,0.100957064539598,3.31662504375562
"FBXL5",-0.607515933479465,6.56896427928808,-4.00124253415623,0.000911638969994181,0.100957064539598,-3.3164653326096
"PTBP2",-0.990105745934233,5.81562114935486,-4.29734608741624,0.000916172410312657,0.100957064539598,-3.31507896257675
"NUP210",-1.14728355692415,3.3981819761546,-3.75786275459559,0.000920189565591528,0.100957064539598,-3.31385577962482
"TNFRSF1A",1.34202396873392,5.43226051776218,4.20012494393786,0.000938928511762121,0.101083375063811,3.30821454007948
"PSMA7",-0.572091763650594,7.17778939701197,-3.74821205997141,0.00094305761871584,0.101083375063811,-3.30698553421716
"SLC25A43",1.53231207058697,3.0548745823523,3.89129294920415,0.000943450987183024,0.101083375063811,3.30686871047607
"IPO13",-1.05795112740752,6.22876089358591,-4.38237470981611,0.00095094241651268,0.101083375063811,-3.30465245252956
"FNBP1L",1.04399335045736,4.5649538597019,4.08027121229082,0.000952052204830208,0.101083375063811,3.30432551002959
"PDGFC",1.15989536628329,4.08716538103638,3.89919804896853,0.000982422747035858,0.101218382981662,3.29551266608228
"GOLT1B",-0.665963791709787,5.08412110998403,-4.35979520718993,0.00101563192870395,0.101218382981662,-3.28616030317377
"MTX2",-0.559540710409917,5.06924045116114,-3.71867148497948,0.00101657417553876,0.101218382981662,-3.28589909990325
"UBE2G1",-0.639904022258753,6.01210755719315,-4.16662502472976,0.00101839135135155,0.101218382981662,-3.28539598696017
"KCNT2",2.04176199033319,1.47273003079866,3.71782236721941,0.0010187684198115,0.101218382981662,3.28529169389125
"ZBTB33",0.985924415400202,4.95294740739793,4.3667245279404,0.00102692234906902,0.101218382981662,3.28304510060229
"FAM20A",3.22868851912713,1.20349356735235,3.75671164848199,0.00104422646124128,0.101218382981662,3.27833160760809
"CCNH",-0.700388836129547,5.05698496958568,-4.04873789457254,0.00104776374669261,0.101218382981662,-3.27737698604819
"PTMS",1.83799520858337,6.1077616299483,4.62162510793166,0.00104794480203073,0.101218382981662,3.2773282041742
"SFTPD",2.37736203758606,0.0375044632092633,3.70522092336706,0.00105188345631027,0.101218382981662,3.27626893505207
"YBX3",1.323851771858,5.7862534511836,3.85803712172988,0.00105833783217325,0.101218382981662,3.27454099145514
"TRIM2",-0.881284892290376,8.40474573555504,-4.25711199578432,0.00106613486759762,0.101218382981662,-3.27246655114016
"TOX",1.32239923295595,3.6199110606549,3.93256151779305,0.00107871142152831,0.101218382981662,3.2691498882794
"H2AFJ",-0.803189774140064,5.80784899054241,-4.4603461990398,0.00108931173042235,0.101218382981662,-3.26638205901139
"PACS1",0.86500286959477,4.59521460918751,3.84544146428409,0.00109177968860117,0.101218382981662,3.26574123063236
"PDE6D",-0.876453001870266,4.89472431037319,-4.26522781368861,0.00109447835722291,0.101218382981662,-3.2650420277476
"TMEM176B",1.33825357398916,5.87112252506444,4.08569883324557,0.00109883863007079,0.101218382981662,3.26391567890317
"MDM4",-0.753037892294839,5.84745874806059,-3.72000860216978,0.00109924485339212,0.101218382981662,-3.26381095357466
"VWA5A",1.33623352143924,4.18936967232925,3.88960391151174,0.00111775467481687,0.101218382981662,3.25907664176299
"HRH1",2.66735564480482,2.12483455320958,3.78478857467149,0.00112408084339111,0.101218382981662,3.25747518964746
"TIMM23B",-1.08341967970298,2.99334832991959,-4.26244441307046,0.0011276405278908,0.101218382981662,-3.25657772509882
"AL359504.2",-1.47850761052956,2.02597379099997,-3.98384989649967,0.0011361430556876,0.101218382981662,-3.25444462946512
"SLC20A2",-0.915415640660788,5.73844735867124,-4.38252393161162,0.00113764044458113,0.101218382981662,-3.25407049685988
"MAOA",1.90370925022949,4.66935721968114,4.04144461262727,0.00113836496837349,0.101218382981662,3.25388963314464
"MAFF",2.14589400472831,3.53381458795765,3.8014940322248,0.00114241879176253,0.101218382981662,3.25287963152777
"C11orf58",-0.501239793901162,7.22504174227023,-4.46096757044806,0.00114360706228414,0.101218382981662,-3.25258420425538
"CASC10",2.03456692012932,3.01709124637442,3.98055335870866,0.00115668264580914,0.101218382981662,3.24935196459808
"NAAA",1.36866153715974,3.74000350637173,4.49111716823704,0.00115810036620178,0.101218382981662,3.24900354079528
"EPDR1",1.27737070067194,5.26725034367057,4.42490189907168,0.00116472365441607,0.101218382981662,3.24738098352309
"P2RX7",-1.19563744782848,5.7392237927117,-4.1359156637964,0.00117868415909166,0.101218382981662,-3.24398871519486
"SLC44A2",0.605352009095872,7.03657949901407,3.88843924670689,0.00118401579662765,0.101218382981662,3.24270296807811
"ZNF33B",1.53517944782172,2.9840426021132,3.80967716167535,0.00118480709759996,0.101218382981662,3.24251259854986
"ZNF415",-1.20346353124817,3.8902683318625,-4.90965826292108,0.00118736208955163,0.101218382981662,-3.24189872494391
"SH2D4A",1.77413149334649,1.31708075385616,3.90079377902925,0.0011889335206464,0.101218382981662,3.24152177187533
"JAM2",0.806585993131436,5.86414561114963,3.96237421559293,0.00119301426976374,0.101218382981662,3.24054503205693
"HDAC11",-1.16965693257256,6.25802442304472,-4.41184500477931,0.00119566293778534,0.101218382981662,-3.23991271581461
"CP",3.00596745436841,6.92108776612919,4.45250782979875,0.00121663369275266,0.101218382981662,3.23495156059004
"SPRY2",0.96746788939462,5.59476704409989,3.98957269150652,0.00121934095445709,0.101218382981662,3.23431685699589
"ORMDL1",-0.702950107359183,5.65074753906078,-3.71177768416328,0.00122178949412162,0.101218382981662,-3.23374392942412
"AADAT",-0.677105480293069,3.40382857104101,-3.64443105879495,0.00122703782018581,0.101218382981662,-3.23251945106114
"KCNJ2-AS1",-1.48044088407212,1.71705648762385,-3.64351869777005,0.00122987288866807,0.101218382981662,-3.23186001665173
"GCLC",-0.730569079198415,6.02627194830749,-4.30773390197159,0.00123442501951038,0.101218382981662,-3.23080412608163
"AC092958.1",-1.53778592631409,4.605053567368,-3.79068341854956,0.00124118572446115,0.101218382981662,-3.22924256239155
"PLCD1",1.53072414329673,4.62796210750452,4.05662381788134,0.00124397077337028,0.101218382981662,3.2286015649454
"TMEM229A",-1.08809087660804,3.05430426146157,-3.63874677955261,0.00124480588245334,0.101218382981662,-3.22840961731243
"C11orf71",-0.753395221124398,4.27781035552344,-3.63810177816728,0.00124683787683703,0.101218382981662,-3.22794306494141
"TBC1D10A",1.93759846436602,2.57780730237596,3.94797069826964,0.00124815911399848,0.101218382981662,3.22764008122059
"NR2F1-AS1",1.31539191132637,4.88850884153171,4.01599400307899,0.00124854662121149,0.101218382981662,3.22755127493208
"SORBS1",1.06185764520541,7.57313595052369,3.88437785249045,0.0012583746476585,0.101515056747627,3.22530741983503
"WWTR1",1.64084495380142,6.55961012023187,3.75932873563041,0.00129909348479463,0.103665360287491,3.21617994313165
"FLOT2",0.87016965729844,5.4085527529841,3.92236665241105,0.00130164452574105,0.103665360287491,3.21561693498136
"CCDC151",1.78509973141147,3.72441917472223,3.90107715710262,0.00130392717867841,0.103665360287491,3.21511402199292
"LRP1",1.19285193456553,7.47526472230697,4.14282756530923,0.00131915422794927,0.104371736198852,3.21177984538335
"TMEM176A",1.71009937004,5.53658831637359,4.02849579353968,0.001336037122381,0.1052017364738,3.20812436288664
"TMEM164",0.930665625418989,3.30524180382345,3.60844778689138,0.00134384534736561,0.105312680388551,3.20644811957364
"SPRED2",0.891497475718259,4.06518336950998,3.77822271302356,0.00136044556401345,0.105736778348471,3.20291409440835
"REV1",-0.686346635091673,4.39909627339771,-3.72006102995179,0.00136210712826614,0.105736778348471,-3.20256255663267
"KLHDC1",-0.901342104334688,3.70665655440638,-3.5997070465193,0.00137382088156066,0.106145400224618,-3.20009543769244
"SH3BP2",1.26400413040835,4.97267177008814,3.88101217878892,0.00139050934461642,0.106283688849436,3.19661386091089
"VANGL2",0.995569134831316,3.61514208933563,3.97027466769224,0.001394533275562,0.106283688849436,3.19578014892265
"ANXA2",2.23227229838872,6.86456625451017,3.86181309555491,0.0013949855253982,0.106283688849436,3.19568658669873
"C1orf35",-0.686095162236665,4.05116625008034,-3.79651772800589,0.00140206656675589,0.106330919304616,-3.19422528450614
"PRMT6",-0.661388975479744,3.6767639378219,-4.06500516616036,0.00144560458730712,0.109129883914281,-3.18538717761915
"DSC2",1.5481004785516,3.02848328144937,3.61220621680495,0.0014736440977474,0.110738634322507,3.17982422821879
"DTD2",-1.024423869002,4.04941167594197,-4.0386711798025,0.00148791215700634,0.111198773081802,-3.17703083428379
"TBC1D8B",-1.52014325818932,1.75574797682013,-3.56663052391652,0.00149328120866976,0.111198773081802,-3.1759860714256
"TMC7",-1.37115026105106,4.38920400288757,-3.95747723628081,0.00151077605067683,0.111542322094625,-3.1726056010134
"CERS6",1.17405073417511,4.74636109477424,4.60685006074696,0.00151745376962002,0.111542322094625,3.17132478996524
"FRMPD3",2.00234367529992,2.21881599979407,3.93685410086479,0.00151822811868482,0.111542322094625,3.17117660306515
"SEC61A2",-0.902630356142325,4.71692197508958,-4.34109227051811,0.00152771550055268,0.111601878654492,-3.16936663608789
"ADSS",-0.618320713164521,5.87098363791322,-3.9650664046848,0.00154753901388718,0.111601878654492,-3.16561795793338
"IL10RA",1.78350441056918,3.88494839998744,3.60497215953982,0.00155067974180731,0.111601878654492,3.16502810056663
"HRCT1",3.52993884611935,0.905729253172302,3.96704073451963,0.00156080674756329,0.111601878654492,3.16313362081152
"ATG14",-0.539922896444822,4.18560791617851,-3.8419260752428,0.00156203502300586,0.111601878654492,-3.1629046149935
"PCDHB4",1.25912862840921,4.2493165925045,4.11389044336878,0.00157058371901672,0.111601878654492,3.16131533095408
"C14orf119",-0.652832450433337,4.93139774169327,-3.54601491722975,0.00157280546409747,0.111601878654492,-3.16090359149784
"ARHGAP6",1.42023976093002,3.28577690264827,3.79460649170974,0.001579752265241,0.111601878654492,3.15961963865132
"HAP1",3.12809400362553,2.59075070481091,3.7809969943661,0.00158007156386319,0.111601878654492,3.15956074884823
"TRIM4",1.08588188467073,4.26112755285108,4.00782952731456,0.00158691176583784,0.111606012523048,3.15830180123977
"GCA",-0.82442548755509,6.09169497953061,-3.88369226797466,0.00161127027537366,0.111875601758896,-3.1538587943158
"WASHC5",-0.626602491403929,5.47425990237195,-4.13171490975893,0.00163949052389483,0.111875601758896,-3.14878805855473
"NOTCH1",-0.737642543063214,5.52282473113295,-3.7277756212224,0.00164111460283963,0.111875601758896,-3.14849868752091
"SPARC",1.51887326114846,9.86389751027324,4.08171427700981,0.00164844651252545,0.111875601758896,3.14719559244323
